,title,new_price,list_price,rating,rating_count,img_url
30,"Amazon Basics Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, Dark Gray, 3-Ft",N/A,N/A,"70,123 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/51bL094WehL._AC_SL1302_.jpg
31,"Anker USB C Cable, New Nylon USB C to USB C Cable (6ft 60W, 2-Pack, USB 2.0), USB C Cable for iPad Mini 6, iPad Pro 2020, iPad Air 4, MacBook Pro 2020, Samsung Galaxy S22,Switch, Pixel, LG (Black)",$10.55,$10.55,"27,739 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71IE9dLBduL._SL1500_.jpg
32,iPhone Charger [Apple MFi Certified] 3Pack 10FT Lightning Cable Fast Charging iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More (Multi-Color),$10.99,$23.99,"5,188 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61IPI3-XQrL._SL1500_.jpg
33,"Original HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN",N/A,N/A,"12,253 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/714wiNbdyoL._AC_SL1500_.jpg
34,"Original HP 61 Black Ink Cartridge | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; ENVY 4500, 5530; OfficeJet 2620, 4630 Series | Eligible for Instant Ink | CH561WN",$22.89,$22.89,"59,317 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61HtgZVaxdL._AC_SL1000_.jpg
35,"Original HP 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J92AN",$45.89,$45.89,"19,315 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71N1gNMUpbL._AC_SL1500_.jpg
36,"etguuds [2-Pack, 3ft] USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8",$6.99,$6.99,"64,288 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61zvbGMj1+L._AC_SL1100_.jpg
37,"Original HP 63 Black/Tri-color Ink (2-pack) | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | L0R46AN",$51.89,$51.89,"37,728 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71SpVFYFzQL._AC_SL1500_.jpg
38,Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,$7.43,$7.43,"53,526 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61LtuGzXeaL._AC_SL1465_.jpg
39,"USB C to Lightning Cable [Apple MFi Certified] 3Pack 6FT iPhone Fast Charger Cable Power Delivery Type C Charging Cord Compatible with iPhone 14 13 13 Pro Max 12 12 Pro Max 11 XS XR X 8 iPad,White",$6.99,$25.99,"3,450 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51zj7qdhTzL._AC_SL1500_.jpg
40,Apple USB-C Charge Cable (2m),$15.40,$15.40,"28,530 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/41uNTvxHcNL._AC_SL1000_.jpg
41,"Original HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN",$51.89,$51.89,"13,957 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71CBLTegWqS._AC_SL1500_.jpg
42,"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",$62.76,$69.99,"14,925 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71iNwni9TsL._AC_SL1500_.jpg
43,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",$22.95,$33.49,"6,978 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_SL1500_.jpg
44,"Original HP 64 Black/Tri-color Ink Cartridges (2-pack) | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | X4D92AN",$41.89,$41.89,"16,960 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/719v4HTY9OL._AC_SL1500_.jpg
45,"Original HP 962 Cyan, Magenta, Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN",N/A,N/A,"7,793 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71XSbgnGXcS._AC_SL1500_.jpg
46,"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",$38.99,$38.99,"14,570 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61-K2lXmHQL._AC_SL1500_.jpg
47,"Original HP 902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN",$45.89,$45.89,"20,925 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71QsmlwPUTL._AC_SL1500_.jpg
48,"Original HP 962XL Black High-yield Ink Cartridge | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3JA03AN",$46.89,$46.89,"7,778 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71YnyARzfPS._AC_SL1500_.jpg
49,"Anker USB C to HDMI Adapter (4K@60Hz), 310 USB-C Adapter (4K HDMI), Aluminum, Portable , for MacBook Pro, Air, iPad Pro, Pixelbook, XPS, Galaxy, and More",N/A,N/A,"25,543 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51I0DpppkJL._AC_SL1500_.jpg
50,"HP Wireless Mouse X3000 G2 (28Y30AA, Black) up to 15-month battery,scroll wheel, side grips for control, travel-friendly, Blue LED, powerful 1600 DPI optical sensor, Win XP,8, 11 compatible",N/A,N/A,"19,041 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61hOgYUbUyL._AC_SL1500_.jpg
