asin_id,title,new_price,list_price,rating,rating_count,img_url
B0B8CJRPTW,iPhone Charger [Apple MFi Certified] 3Pack 10FT Lightning Cable Fast Charging iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More (Multi-Color),N/A,N/A,"5,204 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61IPI3-XQrL._SL1500_.jpg
B07N3FYTW5,"Original HP 910XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YL65AN",N/A,N/A,"14,445 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61N8mUd0-6L._AC_SL1000_.jpg
B08412TYML,"Original HP 67XL Tri-color High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM58AN",N/A,N/A,"20,515 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/715Ohdd62gL._AC_SL1500_.jpg
B0101S7K6C,"Canon PG-243/ CL-244 Ink Multi pack, Compatible to TR4520, MX492, MG2520, MG2922, TS302 and TS202 Printers",N/A,N/A,"58,048 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71zFeihP3xL._AC_SL1500_.jpg
B089DM4KDW,"etguuds [2-Pack, 3ft] USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8",N/A,N/A,"64,289 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61zvbGMj1+L._AC_SL1100_.jpg
B01BYKV7I8,"Original HP 65 Black/Tri-color Ink Cartridges (2-pack) | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | T0A36AN",N/A,N/A,"31,692 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61Fm4fnbnVL._AC_SL1500_.jpg
B01MQ5Z080,Apple USB-C Charge Cable (2m),$15.40,$15.40,"28,530 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/41uNTvxHcNL._AC_SL1000_.jpg
B09X7FXHVJ,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",$22.99,$33.49,"6,985 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_SL1500_.jpg
B003H2GBM4,"Original HP 61 Black Ink Cartridge | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; ENVY 4500, 5530; OfficeJet 2620, 4630 Series | Eligible for Instant Ink | CH561WN",N/A,N/A,"59,318 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61HtgZVaxdL._AC_SL1000_.jpg
B00WR23VRI,"Original HP 63 Black/Tri-color Ink (2-pack) | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | L0R46AN",N/A,N/A,"37,727 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71SpVFYFzQL._AC_SL1500_.jpg
B071YHCML6,"Original HP 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J92AN",N/A,N/A,"19,316 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71N1gNMUpbL._AC_SL1500_.jpg
B09QL8B3YF,"USB C to Lightning Cable [Apple MFi Certified] 3Pack 6FT iPhone Fast Charger Cable Power Delivery Type C Charging Cord Compatible with iPhone 14 13 13 Pro Max 12 12 Pro Max 11 XS XR X 8 iPad,White",N/A,N/A,"3,450 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51zj7qdhTzL._AC_SL1500_.jpg
B005EJH6Z4,Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,N/A,N/A,"53,525 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61LtuGzXeaL._AC_SL1465_.jpg
B01AV8PPOQ,"Original HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN",N/A,N/A,"12,254 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/714wiNbdyoL._AC_SL1500_.jpg
B06ZY9LP74,"Original HP 64 Black/Tri-color Ink Cartridges (2-pack) | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | X4D92AN",N/A,N/A,"16,960 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/719v4HTY9OL._AC_SL1500_.jpg
B07KXQX3S3,"SanDisk 128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN",$17.49,$34.99,"260,949 ratings",4.9 out of 5 stars,https://m.media-amazon.com/images/I/61ysEjw8BML._AC_SL1392_.jpg
B085TFF7M1,"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",N/A,N/A,"14,927 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71iNwni9TsL._AC_SL1500_.jpg
B082Z1YYRK,"USB Type-C Cable 5pack 6ft Fast Charging 3A Quick Charger Cord, Type C to A Cable 6 Foot Compatible Samsung Galaxy S10 S9 S8 Plus, Braided Fast Charging Cable for Note 10 9 8, LG V50 V40 G8 G7(Grey)",$10.27,$10.27,"43,773 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71hLGDuvLCL._AC_SL1500_.jpg
B07FCMKK5X,"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",$16.67,$16.67,"322,046 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/815cRpgAN3L._AC_SL1500_.jpg
B0B3GQVKPN,"[Apple MFi Certified] iPhone 14 13 12 11 Fast Charger, 2Pack 20W PD Type C Wall Charger Block with 6FT USB-C to Lightning Cables Compatible with iPhone 14/13/ 12/11/ XS/XR/X/ 8 Plus/iPad,White",N/A,N/A,"5,334 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61iflaZRxrL._AC_SL1500_.jpg
B088FSHMQ3,"AINOPE USB C Cable [2-Pack, 6.6ft] 3.1A Type C Charger Fast Charging Cable Right Angle, Durable Nylon Braided USB C Charging Cable Compatible with Galaxy S10 S9 Plus S21, Note 10 9 LG, Type C Charger",$7.99,$7.99,"76,409 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71slGPTBJ9S._AC_SL1200_.jpg
B07WPTG7NX,"USB C Hub, Hiearcool Adapter USB C Dongle for MacBook Pro, 7 in 1 USB C to HDMI Multport Adapter Compatible for USB C Laptops and Other Type C Devices (4K HDMI USB3.0 SD/TF Card Reader 100W PD)",$24.99,$29.99,"39,110 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71Og586RJCL._AC_SL1500_.jpg
B07M6Y7355,"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",N/A,N/A,"14,572 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61-K2lXmHQL._AC_SL1500_.jpg
B07DC5PPFV,"Anker Premium Nylon USB A to USB C Cable(2-pack, 6ft), USB 2.0, Fast Charging USB C Cable for Samsung Galaxy S10 S10+ / Note 9, LG V30 and More (Black)",N/A,N/A,"78,416 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71JPX+AFszL._SL1500_.jpg
B01B6QGJ42,"Original HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN",N/A,N/A,"13,957 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71CBLTegWqS._AC_SL1500_.jpg
B07THJGZ9Z,"Anker USB C to HDMI Adapter (4K@60Hz), 310 USB-C Adapter (4K HDMI), Aluminum, Portable , for MacBook Pro, Air, iPad Pro, Pixelbook, XPS, Galaxy, and More",$17.99,$17.99,"25,546 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51I0DpppkJL._AC_SL1500_.jpg
B087213LB3,"Warrky USB C to HDMI Cable 4K [Anti-Interference Gold-Plated Plugs] 6FT Braided Type-C to HDMI Cord Thunderbolt 3/4 Compatible for MacBook Pro/Air, iMac, iPad Pro, Galaxy S8 to S22, Surface, Dell, HP",$12.49,$12.49,"14,787 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71tf8hN2SjL._AC_SL1500_.jpg
